entity_type,canonical_label,ontology,code,ontology_label
Symptom,"granuloma, plasma cell",MeSH,D006104,"Granuloma, Plasma Cell"
Symptom,"granuloma, pyogenic",MeSH,D017789,"Granuloma, Pyogenic"
Symptom,"granuloma, respiratory tract",MeSH,D015769,"Granuloma, Respiratory Tract"
Symptom,"granulomatosis, orofacial",MeSH,D051261,"Granulomatosis, Orofacial"
Symptom,"granulomatous disease, chronic",MeSH,D006105,"Granulomatous Disease, Chronic"
Symptom,growth disorders,MeSH,D006130,Growth Disorders
Symptom,guillain-barre syndrome,MeSH,D020275,Guillain-Barre Syndrome
Symptom,halitosis,MeSH,D006209,Halitosis
Symptom,hallucinations,MeSH,D006212,Hallucinations
Symptom,headache,MeSH,D006261,Headache
Symptom,healthcare-associated pneumonia,MeSH,D000077299,Healthcare-Associated Pneumonia
Symptom,hearing disorders,MeSH,D006311,Hearing Disorders
Symptom,hearing loss,MeSH,D034381,Hearing Loss
Symptom,"hearing loss, bilateral",MeSH,D006312,"Hearing Loss, Bilateral"
Symptom,"hearing loss, central",MeSH,D006313,"Hearing Loss, Central"
Symptom,"hearing loss, conductive",MeSH,D006314,"Hearing Loss, Conductive"
Symptom,"hearing loss, functional",MeSH,D006315,"Hearing Loss, Functional"
Symptom,"hearing loss, hidden",MeSH,D000097942,"Hearing Loss, Hidden"
Symptom,"hearing loss, high-frequency",MeSH,D006316,"Hearing Loss, High-Frequency"
Symptom,"hearing loss, mixed conductive-sensorineural",MeSH,D046089,"Hearing Loss, Mixed Conductive-Sensorineural"
Symptom,"hearing loss, noise-induced",MeSH,D006317,"Hearing Loss, Noise-Induced"
Symptom,"hearing loss, sensorineural",MeSH,D006319,"Hearing Loss, Sensorineural"
Symptom,"hearing loss, sudden",MeSH,D003639,"Hearing Loss, Sudden"
Symptom,"hearing loss, unilateral",MeSH,D046088,"Hearing Loss, Unilateral"
Symptom,heart block,MeSH,D006327,Heart Block
Symptom,heart murmurs,MeSH,D006337,Heart Murmurs
Symptom,heartburn,MeSH,D006356,Heartburn
Symptom,hemarthrosis,MeSH,D006395,Hemarthrosis
Symptom,hematemesis,MeSH,D006396,Hematemesis
Symptom,hematocele,MeSH,D006398,Hematocele
Symptom,hematoma,MeSH,D006406,Hematoma
Symptom,"hematoma, epidural, cranial",MeSH,D006407,"Hematoma, Epidural, Cranial"
Symptom,"hematoma, epidural, spinal",MeSH,D046748,"Hematoma, Epidural, Spinal"
Symptom,"hematoma, subdural",MeSH,D006408,"Hematoma, Subdural"
Symptom,"hematoma, subdural, acute",MeSH,D020199,"Hematoma, Subdural, Acute"
Symptom,"hematoma, subdural, chronic",MeSH,D020200,"Hematoma, Subdural, Chronic"
